2872,psze2Qlw2_dEsFpDj0N08w,4,2008-09-30,6,80hXG2jdgU54eBMywbbpAg,5,"I will never lie to you yelpers about what is great and what isn't.  The Antiques Mall of Madison is great.

First of all, you have to WANT to be there, because I doubt you would be driving to that crappy strip mall for anything else.  (I do like that chinese place out front though).

The owners leave you alone as you browse, an you could be in there all day!  It's my one stop shop for rolling pins, doilies, vintage easter decorations and old chairs.  Because, you know, I'm usually out looking for that stuff.",review,4,ZYaumz29bl9qHpu-KVtMGA
897,u2suyhwZNjBkGDHKQ2uJOA,0,2011-01-07,0,wV_RGvS8NLbYQQ4gPuCE0Q,1,"Be very wary of the Family Video in Sun Prairie, WI, they do a great job trying to up sell you at the counter and next thing you know you are walking out the door with 3-5 movies when you came in intending to get two. 
The problem with this, is they do not indicate anywhere on the movie when they are due back. You do not get a receipt indicating when they are due back, so if you have five movies and one is due back the next day and the other four in five days, you better be darn sure you know what one, or you will be surprised with a $8-$10 late charge. (And hopefully, the person that hands you the movies tells you the correct one) 
When you ask them why they do not print off receipts, they state it is the cost of paper - well, I would think the cost of an angry customer(s) would be more concerning.",review,0,rKQamBVdVY2SXTDDKImOAw
3326,kudu7t-QHJJa0aC0ojpm8w,1,2012-02-25,1,AXtnBX9y4O_71HuTuft_vw,5,"I heart you, Best Western Madison.

Except for the fact that they failed to pick me up from the airport due to the slightly snowy condition, they delivered everything I looked for in a quality hotel. After having traveled to 4 different business sites across the state in a span of a month, this is by far my favorite on the list of hotels that I stayed at. Why?

1) Excellent customer service by the front desk
2) Excellent transportation service (I got a ride within 5 mins most of the time)
3) Yummy HOT breakfast
4) Quiet and clean room. I wasn't looking for a posh deco at this place, so my grading's only based on business--not romantic--needs. 

Overall, I absolutely adored this hotel and would stay there again for my next visit.",review,1,pjXaV7eyrJQJnlSy46SgZg
1194,ybkWtM1ZnT2ewuquj3A9KQ,0,2010-11-05,0,2kr0k8s3D8GaFvmSnDI68g,1,"It is completely and totally awful.  The food is hideous.  Don't go there, you will thank me.",review,2,0iPA-UDoxZzA-HCByswY8g
2363,qt3WwxMYShshHX7UsyTK-g,0,2012-09-17,0,51iGtmQDeI_ltlCmjzHI6w,1,Very unhelpful. The staff did not even attempt to address my needs.,review,2,Ht43WIt1vNIaodW-u8Xxng
2043,WxfedycTcbQO_GuXHo9Ypw,0,2012-12-17,0,NBJeLfCdNqTLpHKCSynYKw,5,"I love these guys!! They always have great recommendations and good quality food. They are my go-to meat market, even now that I live outside of Madison. They are super friendly, too, and helped me carry stuff out to my car when I was with my baby. GREAT STORE!!",review,0,GR-h-gLPdWnSncTToJIDeQ
151,UgjVZTSOaYoEvws_lAP_Dw,0,2013-04-16,0,qWHIBzDnJpX32D2NpTyRsw,5,Best Chinese food madison! I've tried them all and make the 15 minute drive every week :-),review,0,jQtmbZmOvfYb4lAkoXMCkQ
2855,Hld3cjWyfPpW5hDcgXfNQA,0,2009-10-30,0,_wo594yAOrcCoecZfhosPg,5,The portabella ravioli is sooo delicious.  My friends had lasagna and primavera and they raved about them as well.  Really great place for italian.,review,1,hrnSxGti9HOHxG2UaPz1rQ
474,ckLRf3lYn9DxmNxd-mu2yA,0,2011-05-11,0,ObLI0XYNKSCo8d2rjPURiQ,1,"Was here for a gala at the adjoining conference center.  Service was terrible. The waitress kept slamming food and drinks on the  table. She only brought dinner for half the table and the rest had to wait for 15 minutes. One of the guests had to wait about 20 minutes for the meal. Horrible!
I've been to many Marriotts before and hold a frequent visitor card, but this one has been the worst experience so far.

I know this isn't a review that completely reflects the hotel or any restaurants inside it, but the fact that this service was under the Marriott name prompted this review and rating",review,0,T23cnNIrwpfRRjD8B8JXSw
20011,peA3F-PnIfijYr8HuG-A-Q,0,2013-12-02,0,LPRzUO316AkbabPJ29r0Pw,1,"Don't let this place fool you. To keep the story short the server, Erica, said there was no merlot. Okay. Ordered a couple Malbecs ($8 each) instead. When we got the bill she charged the order as both Merlots ($10 each).  She never told us she had it on stock. It was more like...surprise! Let's charge them more bc either the server is thinking a) I don't know what they ordered or b) I'm gonna charge more so I can get a bigger tip. For that we gave her $3 for lying to us!! Btw def didn't taste like a merlot.  Checked my credit card charges for 2 separate receipts few days later. The server gave herself more than 20% tip when I clearly put zero on one and $3 on another receipt for 3 drinks -- purposely!!! She doesn't deserve it! 

Called the manager a few days later and short story was the manager, Adam was trying to sound professional but totally sounded annoyed. Yes it's only a few dollars but the whole principle behind their service was shady to say the least. Adam said he would call back a couple days later. Nope!! One week went by and no one called me back. So guess what? I called back. Spoke with another manager, Francisco. He told me that Adam said it was an INCONVENIENCE for him to reverse the charges and that it will cost them!!!! Hahahahahaha really??!!?? You have to be kidding me! What kind of service is this!?? They're worried about a few dollars rather than their reputation??? Wow!! That really says a lot about them. He told me the only way to get credit back is to come back for a free drink. How about NO!! Why would I go back to a place that is shady? Anyway he said Adam will call me back. We will see about that. Maybe they will when they see this. 

Also I agree with the other reviews from Rick and Rich. Going cheap on the Moscow mule by serving it in a smaller glass. Classic.",review,4,6XJfj4qjQlxjT-nPw4MSUQ
